batter,Matches,Total Runs,Balls Faced,Wickets,Strike Rate,Runs scored per wicket
KL Rahul,99,3895,2933,84,132.79918172519604,46.36904761904762
AB de Villiers,170,5181,3487,125,148.58044164037855,41.448
JP Duminy,75,2029,1680,49,120.77380952380952,41.40816326530612
DA Warner,162,5883,4313,143,136.40157662879665,41.13986013986014
LMP Simmons,29,1079,878,27,122.89293849658314,39.96296296296296
JC Buttler,81,2832,1955,71,144.85933503836316,39.88732394366197
ML Hayden,32,1107,839,28,131.94278903456495,39.535714285714285
CH Gayle,141,4997,3516,128,142.1217292377702,39.0390625
SE Marsh,69,2489,1913,65,130.10977522216413,38.292307692307695
MEK Hussey,58,1977,1648,52,119.96359223300972,38.01923076923077
RD Gaikwad,36,1207,945,32,127.72486772486774,37.71875
KS Williamson,74,2105,1707,57,123.31575864089046,36.92982456140351
DA Miller,101,2455,1838,69,133.56909684439609,35.57971014492754
F du Plessis,109,3403,2676,97,127.16741405082213,35.08247422680412
MS Dhoni,205,4978,3802,142,130.93108890057866,35.056338028169016
S Dhawan,205,6244,5083,179,122.84084202242771,34.88268156424581
KP Pietersen,36,1001,758,29,132.05804749340368,34.51724137931034
V Kohli,215,6634,5266,193,125.97797189517661,34.373056994818654
CA Lynn,42,1329,974,39,136.4476386036961,34.07692307692308
JM Bairstow,39,1291,935,38,138.07486631016044,33.973684210526315
RR Pant,97,2851,2000,85,142.55,33.54117647058823
SK Raina,200,5536,4177,168,132.53531242518554,32.95238095238095
SR Tendulkar,78,2334,2044,71,114.18786692759295,32.87323943661972
Shubman Gill,70,1900,1555,59,122.18649517684888,32.20338983050848
Q de Kock,92,2767,2113,86,130.9512541410317,32.174418604651166
SPD Smith,93,2495,1999,78,124.81240620310155,31.987179487179485
G Gambhir,151,4217,3524,135,119.66515323496027,31.237037037037037
AD Russell,81,2039,1212,66,168.23432343234325,30.893939393939394
SR Watson,141,3880,2892,126,134.1632088520055,30.793650793650794
AM Rahane,148,4074,3465,133,117.57575757575758,30.63157894736842
BJ Hodge,63,1400,1153,46,121.42237640936686,30.434782608695652
Ishan Kishan,70,1870,1444,62,129.50138504155123,30.161290322580644
SA Yadav,108,2644,1973,88,134.0091231626964,30.045454545454547
S Badrinath,65,1441,1245,48,115.74297188755021,30.020833333333332
MK Pandey,148,3657,3106,122,117.73985833869929,29.975409836065573
SS Iyer,100,2780,2295,93,121.13289760348584,29.892473118279568
SS Tiwary,73,1494,1291,50,115.72424477149497,29.88
HH Pandya,100,1972,1406,66,140.2560455192034,29.87878787878788
SV Samson,133,3526,2663,119,132.40705970709726,29.630252100840337
AT Rayudu,173,4190,3375,142,124.14814814814814,29.507042253521128
DR Smith,88,2385,1803,81,132.27953410981698,29.444444444444443
YK Pathan,153,3222,2334,111,138.04627249357327,29.027027027027028
RG Sharma,221,5881,4632,203,126.96459412780656,28.970443349753694
DPMD Jayawardene,78,1808,1522,64,118.7910643889619,28.25
R Dravid,82,2174,1918,77,113.34723670490095,28.233766233766232
TM Dilshan,50,1153,1047,41,110.12416427889207,28.121951219512194
RA Tripathi,74,1798,1312,64,137.04268292682926,28.09375
D Padikkal,46,1260,1057,45,119.20529801324504,28.0
V Sehwag,104,2728,1833,98,148.82705946535734,27.836734693877553
MK Tiwary,83,1695,1489,61,113.83478844862324,27.78688524590164
N Rana,85,2181,1677,79,130.05366726296958,27.60759493670886
JH Kallis,95,2427,2291,89,105.93627237014405,27.269662921348313
AC Gilchrist,80,2069,1555,76,133.05466237942122,27.223684210526315
BB McCullum,109,2882,2272,106,126.84859154929578,27.18867924528302
M Vijay,105,2619,2208,97,118.61413043478262,27.0
DJ Hussey,61,1322,1101,49,120.07266121707538,26.979591836734695
RV Uthappa,197,4954,3927,184,126.15227909345556,26.92391304347826
KA Pollard,168,3437,2447,129,140.45770331017573,26.643410852713178
MC Henriques,54,1000,801,38,124.84394506866417,26.31578947368421
MP Stoinis,59,1070,813,41,131.61131611316114,26.097560975609756
KD Karthik,207,4377,3386,168,129.26757235676314,26.053571428571427
PP Shaw,63,1588,1106,61,143.58047016274864,26.0327868852459
GJ Maxwell,105,2320,1571,90,147.67663908338636,25.77777777777778
WP Saha,117,2427,1951,96,124.39774474628396,25.28125
Yuvraj Singh,126,2754,2207,109,124.78477571363842,25.26605504587156
RA Jadeja,157,2502,2049,100,122.10834553440704,25.02
SC Ganguly,56,1349,1326,54,101.73453996983409,24.98148148148148
AJ Finch,90,2092,1696,84,123.34905660377358,24.904761904761905
LRPL Taylor,54,1017,847,41,120.07083825265643,24.804878048780488
KC Sangakkara,68,1687,1424,69,118.4691011235955,24.44927536231884
EJG Morgan,74,1406,1181,61,119.05165114309906,23.049180327868854
KK Nair,68,1496,1192,65,125.503355704698,23.015384615384615
MA Agarwal,107,2335,1803,102,129.5063782584581,22.892156862745097
KH Pandya,82,1326,1003,58,132.20338983050848,22.862068965517242
M Vohra,50,1073,852,47,125.93896713615023,22.829787234042552
DJ Bravo,110,1560,1247,69,125.10024057738573,22.608695652173914
PA Patel,136,2848,2442,127,116.62571662571663,22.4251968503937
KM Jadhav,80,1196,1002,54,119.36127744510978,22.14814814814815
IK Pathan,82,1150,985,53,116.75126903553299,21.69811320754717
DJ Hooda,75,1237,970,58,127.52577319587628,21.32758620689655
NV Ojha,94,1554,1360,74,114.26470588235293,21.0
Mandeep Singh,94,1692,1402,82,120.68473609129815,20.634146341463413
AR Patel,87,1135,919,59,123.5038084874864,19.23728813559322
SP Narine,82,1025,664,64,154.36746987951807,16.015625
